headline,summary,link
"
Two cops suspended for Sardhana blast, police probe ‘explosive cache’
",The decision to suspend two policemen came a day after local BJP MLA Sangeet SOM demanded a high-level probe into the explosion.,https://indianexpress.com/article/india/two-cops-suspended-for-sardhana-blast-police-probe-explosive-cache-6918640/
"
SP leader held for ‘threatening’ woman over property dispute
","In her complaint, the woman said Nadeem Ahmad Farooqui and his associate Shamim own a plot of land just behind her house.",https://indianexpress.com/article/india/sp-leader-held-for-threatening-woman-over-property-dispute-6918601/
"
Days after quitting Cong, former Unnao MP Annu Tandon joins SP
","Tandon praised Akhilesh Yadav calling him a “young, progressive and visionary” leader with all the qualities expected from a leader.",https://indianexpress.com/article/india/days-after-quitting-cong-former-unnao-mp-annu-tandon-joins-sp-6918563/
"
Rajya Sabha polls: SC tells Prakash Bajaj to approach High Court
",Bajaj had alleged a conspiracy by the Returning Officer and other officials in the rejection of his nomination paper to favour the BSP candidate.,https://indianexpress.com/article/india/rajya-sabha-polls-sc-tells-prakash-bajaj-to-approach-high-court-6918494/
"
Allahabad HC reserves order in Hathras case, orders  CBI to file status report
","The High Court also directed the CBI to file a status report by November 25, the next date of hearing, said senior advocate Jaideep Narain Mathur, who has been appointed amicus curiae in the case.",https://indianexpress.com/article/india/allahabad-hc-reserves-order-in-hathras-case-orders-cbi-to-file-status-report-6918453/
"
Bypolls 2020 Live Updates: MP voters know that CM Chouhan has just lied in 6 months, says Kamal Nath
","Bye-Election 2020 Live News Updates: Voting will be held from 7 AM to 6 PM, except in Chhattisgarh, Jharkhand and Nagaland, where the timings are different. The number of people allowed in a polling booth has been restricted.",https://indianexpress.com/article/india/bypolls-2020-live-updates-6914974/
"
Tying rakhi as bail condition: AG for gender sensitisation
",Venugopal suggested that programmes of the National and state judicial Academy must have sessions on gender sensitisation.,https://indianexpress.com/article/india/tying-rakhi-as-bail-condition-ag-for-gender-sensitisation-6915664/
"
Goa law college stands by professor, tells ABVP teacher will not be sacked
"," Outsider has no locus standi to raise such objections, rules committee after probing complaint that teacher 'promotes socially hateful thoughts about a particular religion'",https://indianexpress.com/article/india/goa-law-college-stands-by-professor-tells-abvp-teacher-will-not-be-sacked-6915657/
"
Pinarayi Vijayan slams central agencies: Exceeding authority, probe being diverted to suit certain vested interests
","Vijayan told the media that these agencies have exceeded their authority and their actions are a clear violation of the federal norms of the country.
",https://indianexpress.com/article/india/pinarayi-vijayan-kerala-gold-smuggling-case-6915649/
"
Timing of Jagan letter suspect, but no consent for contempt: AG
",Letter followed Justice Ramana order to fast-track cases: Venugopal,https://indianexpress.com/article/india/jagan-mohan-reddy-n-v-ramana-s-a-bobde-letter-6915601/
"
Jharkhand scholarship scam: Have started probe, says Mukhtar Abbas Naqvi
","Speaking to The Indian Express after chairing a high-level meeting to discuss the issue, Naqvi said: “We have initiated an investigation into the matter and are in constant touch with the state government.”
",https://indianexpress.com/article/india/scholarship-scam-jharkhand-mukhtar-abbas-naqvi-6915615/
"
Jharkhand scholarship scam: Fraud went on unchecked even as red flags were waved in Centre and state
","On Sunday, Jharkhand Chief Minister Hemant Soren reacted to the findings by ordering a probe and promising to revamp the verification system. Chief Secretary Sukhdev Singh said verification “has been stopped” till the probe is completed.",https://indianexpress.com/article/india/jharkhand-scholarship-scam-fraud-hemant-soren-6915609/
"
First India-born minister in New Zealand, her father says ‘proud, not surprised’
","In New Zealand, Priyanca will be Minister for Diversity, Inclusion and Ethnic Communities; Minister for the Community and Voluntary Sector; and Associate Minister for Social Development and Employment.",https://indianexpress.com/article/india/priyanca-radhakrishnan-new-zealand-cabinet-jacinda-ardern-6915593/
"
On table for next round of LAC talks: Thinning of troops
",Signal from Beijing on certain friction points as harsh Ladakh winter sets in,https://indianexpress.com/article/india/india-china-lac-troops-ladakh-6915599/
"
Gujarat bypolls: 8,000 PPE kits, voting facility for Covid patients
","S Murali Krishna, Chief Electoral Officer (CEO) of Gujarat, said that total 566 polling stations were added to ensure that social distancing norms are not violated in the polling booths.",https://indianexpress.com/article/india/gujarat-8000-ppe-kits-voting-facility-for-covid-patients-6915532/
New vaccine for Alzheimer’s disease shows potential in mice,https://www.medicalnewstoday.com/articles/new-vaccine-for-alzheimers-disease-shows-potential-in-mice
Can a ketogenic diet prevent heart failure?,https://www.medicalnewstoday.com/articles/can-a-ketogenic-diet-prevent-heart-failure
COVID-19: Convalescent T cells could protect the vulnerable,https://www.medicalnewstoday.com/articles/covid-19-convalescent-t-cells-could-protect-the-vulnerable
A third of older people may be prescribed ‘inappropriate drugs’,https://www.medicalnewstoday.com/articles/a-third-of-older-people-may-be-prescribed-inappropriate-drugs
COVID-19 can disrupt electrical activity in frontal lobes of brain,https://www.medicalnewstoday.com/articles/covid-19-can-disrupt-electrical-activity-in-frontal-lobes-of-brain
COVID-19 and preexisting conditions: Is a holistic approach needed?,https://www.medicalnewstoday.com/articles/covid-19-and-preexisting-conditions-a-holistic-approach-needed
Air pollution linked to risk of hospital admission with dementia,https://www.medicalnewstoday.com/articles/air-pollution-linked-to-risk-of-hospital-admission-with-dementia
Stendhal syndrome: Can the beauty of art make us ill?,https://www.medicalnewstoday.com/articles/stendhal-syndrome-can-the-beauty-of-art-make-us-ill
WIRED Health:Tech 2020: Latest advances and the fight against COVID-19,https://www.medicalnewstoday.com/articles/wired-healthtech-2020-latest-advances-and-the-fight-against-covid-19
Good nutrition and intensive exercise may improve mental abilities,https://www.medicalnewstoday.com/articles/good-nutrition-and-intensive-exercise-may-improve-mental-abilities
